,0,1,2
0,"[[217, 223], [626, 223], [626, 279], [217, 279]]",Chemistry Worksheet,0.6647267032991763
1,"[[640, 225], [768, 225], [768, 269], [640, 269]]",HW #2,0.5798063200812869
2,"[[220, 332], [561, 332], [561, 389], [220, 389]]",1. What is a crystal?,0.9546095472081026
3,"[[740, 384], [791, 384], [791, 425], [740, 425]]",m,0.42462855012060174
4,"[[831, 366], [966, 366], [966, 431], [831, 431]]",which,0.8732166137449481
5,"[[1001, 362], [1086, 362], [1086, 416], [1001, 416]]",the,0.844087393519978
6,"[[1374, 352], [1491, 352], [1491, 404], [1374, 404]]",moke,0.5154713988304138
7,"[[1520, 344], [1658, 344], [1658, 417], [1520, 417]]",frely,0.6361280990878205
8,"[[1682, 344], [1874, 344], [1874, 409], [1682, 409]]",without,0.9612702259956024
9,"[[230, 387], [405, 387], [405, 473], [230, 473]]",Crystal,0.9609093210446076
10,"[[436, 398], [481, 398], [481, 442], [436, 442]]",is,0.9866231538096828
11,"[[520, 405], [551, 405], [551, 436], [520, 436]]",0,0.5504571295496277
12,"[[235, 480], [330, 480], [330, 534], [235, 534]]",any,0.4673213989920835
13,"[[379, 462], [560, 462], [560, 519], [379, 519]]",spectfrc,0.38067669269920135
14,"[[604, 454], [890, 454], [890, 522], [604, 522]]",arangrent;,0.3233480140835365
15,"[[217, 549], [1013, 549], [1013, 609], [217, 609]]",2. What determines the properties ofa crystal?,0.8250828279004611
16,"[[381, 614], [578, 614], [578, 705], [381, 705]]",bondling;,0.5812744005419688
17,"[[216, 770], [1100, 770], [1100, 818], [216, 818]]",3. Substances that seem to be solid but do not have a,0.801781529556937
18,"[[1096, 761], [1622, 761], [1622, 826], [1096, 826]]",crystalline structure are called,0.9996382367850849
19,"[[211, 821], [635, 821], [635, 885], [211, 885]]",Ampbou_ substances,0.26215980895795515
20,"[[217, 1088], [1617, 1088], [1617, 1151], [217, 1151]]",4. The lattice structure of ionic solid consists of positive ions and negative ions held,0.7039377187254112
21,"[[210, 1145], [1470, 1145], [1470, 1212], [210, 1212]]",together by ionic bonds Describe the lattice structure ofa molecular solid,0.8569343060223797
22,"[[217, 1419], [1164, 1419], [1164, 1487], [217, 1487]]",5. Which type ofcrystalline solid has the lowest melting ,0.6177986556782904
23,"[[1287, 1420], [1394, 1420], [1394, 1476], [1287, 1476]]",Why?,0.9632235765457153
24,"[[244, 1486], [480, 1486], [480, 1548], [244, 1548]]",Moleculr,0.9149675086514859
25,"[[528, 1478], [730, 1478], [730, 1556], [528, 1556]]",cystals,0.5345867448511114
26,"[[759, 1485], [959, 1485], [959, 1536], [759, 1536]]",bcaUSC,0.19709117035232057
27,"[[1000, 1483], [1091, 1483], [1091, 1526], [1000, 1526]]",te,0.3114019610440576
28,"[[1147, 1475], [1479, 1475], [1479, 1536], [1147, 1536]]",Intermokccular,0.4421294059967683
29,"[[242, 1562], [333, 1562], [333, 1607], [242, 1607]]",the,0.6764631850472661
30,"[[374, 1548], [578, 1548], [578, 1610], [374, 1610]]",Aarticks,0.46048059785021705
31,"[[627, 1549], [833, 1549], [833, 1613], [627, 1613]]",tegether,0.907467061725196
32,"[[883, 1541], [993, 1541], [993, 1598], [883, 1598]]",(Van,0.5767074377315811
33,"[[1041, 1551], [1116, 1551], [1116, 1590], [1041, 1590]]",des,0.5381831526756287
34,"[[1161, 1546], [1283, 1546], [1283, 1594], [1161, 1594]]",Wl,0.3805240895079728
35,"[[1310, 1537], [1453, 1537], [1453, 1605], [1310, 1605]]",@rces),0.33724819700034897
36,"[[1478, 1560], [1568, 1560], [1568, 1603], [1478, 1603]]",arr,0.2756838798522949
37,"[[1621, 1561], [1789, 1561], [1789, 1610], [1621, 1610]]",@eAker,0.35677677867655133
38,"[[1702, 1483], [1957, 1483], [1957, 1630], [1702, 1630]]",hokingan,0.4540034612556643
39,"[[238, 1626], [440, 1626], [440, 1680], [238, 1680]]",koyalen+,0.4271936077074424
40,"[[496, 1637], [550, 1637], [550, 1674], [496, 1674]]",Oc,0.40044261649741686
41,"[[605, 1623], [724, 1623], [724, 1675], [605, 1675]]",ioc,0.8451117504780629
42,"[[942, 1618], [1155, 1618], [1155, 1673], [942, 1673]]",therefore,0.32945129782147664
43,"[[1194, 1611], [1414, 1611], [1414, 1700], [1194, 1700]]",lowecig,0.6050440826528954
44,"[[1449, 1620], [1551, 1620], [1551, 1675], [1449, 1675]]",tne,0.09983090615397773
45,"[[1813, 1621], [1967, 1621], [1967, 1689], [1813, 1689]]",Points_,0.31334127904291076
46,"[[217, 1694], [1474, 1694], [1474, 1761], [217, 1761]]",6. List three ways in which amorphous solids dlfier from crystalline solids:,0.5018872106086062
47,"[[268, 1777], [573, 1777], [573, 1842], [268, 1842]]",0i #~,0.03799759969183129
48,"[[895, 1764], [1131, 1764], [1131, 1836], [895, 1836]]",Amphomus,0.37277130400374103
49,"[[1178, 1763], [1304, 1763], [1304, 1819], [1178, 1819]]",Sonds,0.4705513604134599
50,"[[1350, 1762], [1485, 1762], [1485, 1818], [1350, 1818]]",don't,0.46234412577610456
51,"[[1542, 1770], [1654, 1770], [1654, 1830], [1542, 1830]]",have,0.5692117214202881
52,"[[503, 1842], [624, 1842], [624, 1893], [503, 1893]]",SttP,0.06172453271561892
53,"[[667, 1836], [833, 1836], [833, 1898], [667, 1898]]",mltie,0.6712591509044487
54,"[[876, 1830], [1000, 1830], [1000, 1886], [876, 1886]]",Poiat,0.36621365811533085
55,"[[1198, 1831], [1304, 1831], [1304, 1879], [1198, 1879]]",mlt,0.6164677018512013
56,"[[1351, 1840], [1451, 1840], [1451, 1882], [1351, 1882]]",Over,0.5859253406524658
57,"[[1612, 1840], [1750, 1840], [1750, 1901], [1612, 1901]]",range,0.13695029555561603
58,"[[259, 1901], [311, 1901], [311, 1938], [259, 1938]]",Of,0.2670882106056933
59,"[[353, 1901], [668, 1901], [668, 1956], [353, 1956]]","temeeraturrs ,",0.6802098977217607
60,"[[222, 1991], [251, 1991], [251, 2029], [222, 2029]]",7,0.9999952316341023
61,"[[252, 1978], [1747, 1978], [1747, 2042], [252, 2042]]","Using your knowledge of molecular structure, identlfy the main intermolecular forces in",0.5844051775336666
62,"[[217, 2042], [283, 2042], [283, 2084], [217, 2084]]",the,0.8002181053161621
63,"[[275, 2032], [661, 2032], [661, 2099], [275, 2099]]",following compounds.,0.6688686005854877
64,"[[275, 2155], [319, 2155], [319, 2198], [275, 2198]]",a),0.9968081958731997
65,"[[335, 2152], [405, 2152], [405, 2203], [335, 2203]]",PFz,0.816630169596088
66,"[[453, 2158], [657, 2158], [657, 2212], [453, 2212]]",hyAcogon,0.02331404128306498
67,"[[686, 2152], [799, 2152], [799, 2203], [686, 2203]]",bond,0.5156704783439636
68,"[[275, 2201], [737, 2201], [737, 2263], [275, 2263]]",6) HzCO dipok-dltcok,0.1760933829622242
69,"[[277, 2261], [319, 2261], [319, 2311], [277, 2311]]",c),0.9958249616824699
70,"[[338, 2263], [394, 2263], [394, 2306], [338, 2306]]",HF,0.991997127323999
71,"[[426, 2262], [755, 2262], [755, 2331], [426, 2331]]",dipole-difolc,0.7705829602803141
72,"[[1140.645645221013, 357.40780661883616], [1333.405603302462, 336.1771917650168], [1336.354354778987, 398.59219338116384], [1143.594396697538, 419.8228082349832]]",parhcles,0.5437657804727554
73,"[[574.9640536057628, 383.2634037018988], [703.5258631286023, 366.3725697815365], [709.0359463942372, 436.7365962981012], [580.4741368713977, 453.6274302184635]]",liquid,0.8145315559222439
74,"[[1154.102633403899, 1426.307900211697], [1291.4989453611263, 1417.5996667074448], [1291.897366596101, 1467.692099788303], [1154.5010546388737, 1477.4003332925552]]",points?,0.9999148863911331
75,"[[1536.0237203470788, 1473.0684144642591], [1681.8355205536934, 1497.4914713260814], [1668.9762796529212, 1557.9315855357409], [1523.1644794463066, 1532.5085286739186]]",Pces,0.293145090341568
76,"[[1606.9426902392718, 1609.0701767945388], [1795.8279490426191, 1633.3497837153398], [1783.0573097607282, 1699.9298232054612], [1595.1720509573809, 1675.6502162846602]]",melts,0.32362657599935163
77,"[[765.9815420665362, 1610.074486052446], [928.847111956425, 1632.5449887092598], [917.0184579334638, 1691.925513947554], [755.152888043575, 1669.4550112907402]]",bonds ,0.4323822802843566
78,"[[1060.0737387183583, 1819.0719277974933], [1170.8051478603559, 1840.4833397481952], [1157.9262612816417, 1894.9280722025067], [1048.1948521396441, 1872.5166602518048]]",(ttey,0.4468370103375478
